application_id,applicant_name,email,phone,state,zip_code,credit_score,num_credit_accounts,credit_history_months,delinquencies_2y,public_records,inquiries_6m,income,total_debt,monthly_debt_payment,total_credit_limit,total_credit_balance,employment_status,employment_length_months,occupation,loan_amount,loan_purpose,loan_term_months,avg_monthly_balance,num_bank_accounts,has_savings_account,monthly_income_deposits,num_nsf_fees,application_date,referral_source,probability_of_default,default,debt_to_income,credit_utilization,payment_to_income
16,Brian Ramirez,maria36@example.com,+1-448-368-7169x07338,WY,49154,666,5,6,0,0,0,33005.08,28339.77,376.07,47909.55,7168.84,Employed,17,Economist,35556.55,home_improvement,12,12707.0,1,True,10190.62,0,2025-10-25 14:37:33.237817,affiliate,0.5843538324586727,1,1.9359541016110249,0.14963279763637938,0.13673167888094803
17,Holly Wood,nicole02@example.com,4923009114,WI,98417,639,8,125,0,0,0,54913.43,7974.85,2634.98,58271.63,30062.33,Employed,52,"Engineer, site",41724.38,home_improvement,12,1557.14,3,True,12701.74,1,2025-10-12 14:37:33.237817,paid_search,0.38972296343902857,1,0.9050469074687193,0.5158999327803255,0.5758110538715211
18,Derek Zuniga,edwardfoster@example.com,+1-568-850-9894x79398,FM,59452,718,5,6,1,0,1,39468.47,38891.11,221.47,32184.22,32406.42,Employed,22,Youth worker,7411.79,auto,60,19090.15,5,True,7268.16,0,2025-10-26 14:37:33.237818,direct,0.36807271593546564,0,1.1731617668483223,1.0069040045090418,0.0673357746069204
19,Lisa Jackson,wdyer@example.com,469-406-1096x033,NV,77064,645,6,9,0,0,0,68578.75,32499.42,1632.83,63714.18,9150.87,Self-Employed,101,Information officer,15496.38,home_improvement,36,19956.87,2,True,4828.57,0,2025-10-29 14:37:33.237819,organic,0.3518883228839831,0,0.6998640249348376,0.14362375847888179,0.2857147439986876
20,Carla Gray,zstokes@example.com,+1-238-722-3537x55727,PA,33375,615,3,54,0,0,2,68688.22,137985.61,1528.95,40104.74,46794.29,Employed,65,Chartered management accountant,49395.85,home_improvement,36,12056.59,4,False,11746.73,0,2025-10-17 14:37:33.237820,organic,0.8,0,2.7279999394364856,1.1668019790179416,0.2671113038014379
21,Margaret Hawkins DDS,april66@example.net,+1-825-701-8872x069,NV,31276,787,5,12,1,0,0,53616.57,15484.4,437.8,96174.4,45266.08,Employed,8,"Editor, film/video",21943.45,auto,24,2192.01,0,True,11635.98,0,2025-08-07 14:37:33.237821,organic,0.13222360857657578,0,0.6980649825231267,0.4706666223028166,0.09798463422781428
22,Patty Perez,lori47@example.net,001-577-967-7887x13084,AS,05305,686,8,15,1,0,2,58809.36,10540.37,843.37,91819.89,13494.59,Employed,57,Emergency planning/management officer,27627.34,debt_consolidation,12,1021.43,5,False,7865.09,1,2025-11-22 14:37:33.237821,organic,0.28341321599939717,0,0.6490074029032114,0.14696804799047353,0.17208893278212856
23,Ethan Adams,baileymeagan@example.net,(800)866-3295,OR,95341,704,4,9,0,0,2,148121.71,136101.3,2234.8,78386.68,31667.52,Unemployed,4,"Engineer, broadcasting (operations)",39986.58,home_improvement,48,16921.92,1,True,5213.45,1,2025-09-08 14:37:33.237822,affiliate,0.30695382237548274,0,1.1888053412291826,0.40399108624067254,0.18105110992845008
24,Tommy Walter,joshuaramos@example.com,(974)789-3670x619,NY,90982,614,5,173,1,0,0,127260.48,17496.94,2711.19,83590.8,7422.06,Employed,23,"Teacher, special educational needs",40458.05,other,48,14634.6,0,False,8017.74,0,2025-10-10 14:37:33.237823,organic,0.7654229860442152,1,0.4554044586347624,0.08879039320116568,0.2556510866531385
25,Matthew Foster,deborah24@example.org,2033814043,GU,43914,667,1,8,0,0,2,65584.83,22493.25,670.52,97369.91,14125.72,Employed,16,"Engineer, civil (contracting)",15785.64,debt_consolidation,12,13001.93,3,True,4101.07,0,2025-06-12 14:37:33.237824,organic,0.35720236123577753,0,0.5836546347684365,0.14507274372544865,0.12268446834428022
26,Judy Baker,john72@example.net,(731)650-0583x534,GA,69014,706,5,160,1,0,2,65908.38,11613.41,2886.76,22800.04,28890.1,Employed,65,Food technologist,47621.9,other,48,11598.73,1,True,4244.37,0,2025-09-16 14:37:33.237825,paid_search,0.3163106172233613,0,0.8987523286113237,1.2671074261273225,0.5255950760737861
27,Justin Baker,hansenjoshua@example.net,(655)561-4178,WY,30305,630,6,23,1,0,1,77352.07,26748.63,701.5,66031.36,38188.63,Employed,39,Futures trader,31634.02,debt_consolidation,60,1130.94,7,True,10277.05,1,2025-10-07 14:37:33.237826,organic,0.5212726444368275,1,0.7547651924505704,0.5783408065500998,0.1088270811627924
28,Stephanie Ross,oedwards@example.net,860.718.3257x981,PR,72526,722,3,103,0,0,0,72935.51,22070.17,1922.71,19298.01,43454.02,Employed,38,"Copywriter, advertising",37431.19,debt_consolidation,48,5731.01,3,True,5243.05,1,2025-09-07 14:37:33.237827,direct,0.153344561741566,0,0.8158078280387702,2.2517358007380035,0.31634138158490976
29,Zachary Hicks,marvin03@example.com,001-735-224-6936x042,TX,56908,663,6,179,1,1,1,73784.61,21861.38,2024.19,28511.97,42640.06,Employed,35,Occupational therapist,21684.84,other,36,1887.44,1,True,12533.31,1,2025-11-07 14:37:33.237827,paid_search,0.48653999239722734,1,0.5901802557470995,1.4955143401175013,0.32920523670179996
30,Anthony Rodriguez,joshua07@example.net,601-593-9589x818,CT,73455,682,5,43,0,0,1,27415.27,25466.77,2085.5,45492.17,43154.61,Self-Employed,54,Financial adviser,21952.43,business,12,13266.45,1,True,6780.27,0,2025-10-06 14:37:33.237828,affiliate,0.25540418686847005,0,1.7296637968548183,0.9486162124163345,0.9128489341888663
31,Rebecca Henderson,brooksamanda@example.org,001-724-345-7434x259,FM,04003,663,5,88,0,0,0,61472.3,22805.87,2325.38,17035.48,32764.5,Employed,1,Chief of Staff,8517.35,home_improvement,36,15552.56,1,True,13784.32,0,2025-09-04 14:37:33.237829,paid_search,0.509195225155577,1,0.5095501551105132,1.9233094694132482,0.45393713916674666
32,James Ferrell,sara93@example.org,(428)369-5293,ND,19840,811,6,18,0,1,0,86876.71,6327.11,1757.49,37460.77,20018.95,Employed,53,Media buyer,47771.17,auto,24,1494.87,4,True,11210.4,0,2025-07-19 14:37:33.237830,paid_search,0.050448188184339306,0,0.6227017574675652,0.5343977179326533,0.24275643034824868
33,Tricia Valencia,wrightcarolyn@example.com,2622868521,NM,64309,699,6,28,0,1,2,53866.55,69641.6,276.73,60984.31,10909.16,Employed,99,"Scientist, research (maths)",35438.04,business,36,19341.17,2,True,3199.84,0,2025-08-18 14:37:33.237830,organic,0.2597713239736127,0,1.9507401160831723,0.178884700015463,0.06164790579682568
34,Nathan Maldonado,hortonjoshua@example.org,001-673-659-0132x570,PA,90297,636,7,48,0,0,2,38913.28,51853.83,1683.39,16478.97,41593.44,Employed,60,"Production assistant, television",32400.3,other,48,19331.46,1,True,10100.05,0,2025-11-12 14:37:33.237831,direct,0.7483618434980044,1,2.165176772556824,2.5240315383789156,0.5191204647873425
35,Debra Davidson,nwalker@example.org,748-722-4302,ND,46349,749,6,114,1,0,1,56527.9,39054.51,2532.4,63627.36,2735.83,Employed,55,"Administrator, local government",26340.97,debt_consolidation,12,8371.0,1,False,3448.37,0,2025-06-09 14:37:33.237832,organic,0.149604606475041,0,1.1568708549229674,0.042997697845706624,0.5375894027550997
36,Jeffrey Chavez,christopher06@example.org,288.755.7393x97426,UT,06252,626,5,58,0,0,1,61929.17,10771.04,1814.27,41061.95,25501.29,Self-Employed,53,"Surveyor, building control",19009.14,debt_consolidation,48,1884.02,1,True,4741.64,0,2025-09-19 14:37:33.237833,direct,0.26952953079192193,0,0.48087484460069463,0.6210443001367447,0.3515506505254309
37,Sherri Baker,lisamccarthy@example.org,(502)762-5991x435,AR,36558,712,6,1,0,0,3,29824.26,67416.77,639.11,40214.11,15536.65,Employed,5,Materials engineer,6152.57,debt_consolidation,60,16955.66,4,True,12829.98,0,2025-10-16 14:37:33.237834,organic,0.5451269892073027,1,2.466761622920401,0.3863482245410877,0.25715038696685183
38,Cassandra Gaines,dale26@example.com,+1-956-591-7207x036,FL,26440,582,6,21,0,0,2,45489.05,20551.93,775.66,89850.58,8228.05,Employed,35,"Scientist, research (physical sciences)",28794.41,other,24,19304.62,4,True,6037.11,0,2025-11-17 14:37:33.237834,organic,0.5041735607315914,0,1.0847960113477857,0.09157481231618092,0.20461891378254765
39,Elizabeth Fowler,mollyhayes@example.net,336.330.1527x7374,WI,83996,620,5,120,0,0,1,85690.72,14697.28,1588.81,42120.14,21197.23,Employed,31,"Geologist, engineering",47217.8,home_improvement,12,17199.95,2,False,13984.33,0,2025-10-11 14:37:33.237835,paid_search,0.36601209811412466,1,0.7225412506745188,0.5032563994326704,0.22249457117410149
40,Brittany Farmer,sharris@example.com,+1-444-387-8905,NC,67098,711,10,16,0,0,0,73120.6,18355.84,541.23,72094.54,30401.61,Self-Employed,16,Stage manager,30276.83,auto,12,850.81,2,False,10765.53,0,2025-06-14 14:37:33.237836,affiliate,0.16381474114381867,0,0.6651021736692532,0.42169087978090997,0.08882257530709539
41,Paula Moreno,bcampbell@example.com,+1-744-909-0025,TN,95753,744,4,27,0,0,0,69014.18,19053.43,560.58,92037.01,6875.78,Employed,4,Insurance claims handler,29823.24,business,48,15015.39,1,False,9275.7,1,2025-11-16 14:37:33.237836,organic,0.14178592331072531,0,0.7082119935352417,0.07470668592993189,0.0974721426814026
42,Fred Smith,vshields@example.org,725.673.1302x20373,NE,60032,710,8,29,0,0,0,128940.26,6831.36,1811.76,75280.09,43011.22,Employed,27,Marketing executive,35576.15,debt_consolidation,36,9911.74,4,True,10175.48,1,2025-07-16 14:37:33.237837,paid_search,0.1102268088323422,0,0.32889269806032656,0.5713492106611456,0.1686138991809075
43,Sherry Decker,jefferyvincent@example.org,9537340164,AS,92429,693,6,10,0,0,0,64560.38,47794.25,2867.97,67725.63,4748.23,Employed,140,Clinical molecular geneticist,46133.88,home_improvement,24,7528.34,0,True,11287.01,0,2025-06-16 14:37:33.237838,direct,0.2131612808333029,0,1.4548881217861482,0.0701097944751492,0.5330767879619048
44,Anthony Humphrey,ygonzalez@example.net,+1-706-309-3371x98658,ND,18864,681,4,25,0,0,1,64390.33,25914.14,881.2,30863.7,21058.97,Employed,34,"Psychologist, forensic",5892.65,home_improvement,60,6460.84,6,True,2432.91,0,2025-08-29 14:37:33.237839,affiliate,0.15074837781626055,0,0.49396842662555074,0.6823216270246276,0.1642234167770223
45,Angelica Tucker,vbaker@example.net,5214465481,CA,84659,611,5,102,0,0,0,107508.76,52676.81,1508.4,74092.72,44683.09,Self-Employed,12,Financial manager,43100.55,home_improvement,48,16824.46,1,False,14481.77,0,2025-07-30 14:37:33.237839,paid_search,0.5548530743215773,0,0.8908795897190146,0.6030699102421938,0.16836581502753825
46,Philip Cannon,kimberlyerickson@example.net,(306)915-2501,CT,59988,656,4,113,1,0,0,59454.54,12441.18,1104.94,24746.23,20617.18,Unemployed,12,Sports therapist,12348.79,auto,48,4720.76,1,True,8464.27,0,2025-06-30 14:37:33.237840,organic,0.3794711994655884,1,0.41695672021009667,0.8331442809672424,0.2230154333041682
47,John Pierce,lisa10@example.org,498.779.5047x0062,OH,47497,672,6,52,0,0,3,76487.41,33044.28,2256.65,12089.14,39961.01,Employed,5,Purchasing manager,26671.3,other,36,7682.98,5,False,3102.06,0,2025-11-25 14:37:33.237841,affiliate,0.28083618861458354,0,0.7807243048234997,3.3055295910213633,0.35404258034099995
48,Shane Henderson,whitetracy@example.org,2174759174,VT,25633,763,2,68,0,0,1,24241.49,20119.64,1699.64,57419.95,43672.49,Unemployed,62,Research scientist (medical),11163.36,debt_consolidation,12,4790.84,3,True,10147.0,0,2025-06-29 14:37:33.237842,direct,0.12229208176412164,0,1.290473481621798,0.7605804254444666,0.8413542236883953
49,Joshua Blair,hbrock@example.net,993.260.4470,NJ,15894,720,2,45,0,0,2,77295.96,14438.82,1872.39,92553.78,1915.22,Employed,0,Civil Service fast streamer,12681.09,debt_consolidation,24,12000.24,3,True,14622.12,0,2025-10-05 14:37:33.237843,paid_search,0.16515058205545435,0,0.35085805260714786,0.02069305002993935,0.29068375630498666
50,Eric Carney,danny48@example.com,(360)357-9652x73983,AL,61659,594,9,2,0,0,2,50323.52,31271.54,1689.4,32725.93,41393.88,Employed,18,"Engineer, chemical",43461.82,debt_consolidation,12,19710.51,1,False,4576.53,0,2025-08-17 14:37:33.237843,organic,0.8,1,1.4850582789121272,1.2648648945958143,0.40284940322139634
51,Jessica Holmes,oalvarez@example.com,(959)282-2189,NC,03173,719,1,71,1,0,2,57498.51,43719.41,2473.83,34472.61,13399.23,Employed,19,Merchant navy officer,49398.29,debt_consolidation,48,13436.64,0,True,11383.18,0,2025-06-23 14:37:33.237844,direct,0.34537857610943573,1,1.6194802265310877,0.38869206596193323,0.5162909438870676
52,Danny Morgan,aprilforbes@example.org,862-344-4516,WA,36690,676,3,340,0,0,1,125492.4,12033.43,706.24,58816.72,3316.17,Employed,9,Computer games developer,10687.28,debt_consolidation,36,2599.16,0,True,4464.35,0,2025-09-23 14:37:33.237845,paid_search,0.13054584275694422,0,0.18105247807835376,0.05638141671279867,0.06753301395144248
53,Crystal Robinson,qmiller@example.org,970.734.0849,NY,86044,659,4,15,1,1,0,72363.32,106725.3,2583.03,19813.89,37345.6,Employed,34,Pensions consultant,21982.21,other,24,2106.53,4,True,12565.14,0,2025-08-04 14:37:33.237846,paid_search,0.8,1,1.7786291452630973,1.8848191849253226,0.4283435309491051
54,Mark Perez,sergio54@example.net,515.302.7439,MH,86048,736,3,241,1,0,1,73220.41,17191.62,534.38,69468.14,43955.48,Employed,12,Airline pilot,12308.4,debt_consolidation,12,15192.08,2,True,6139.85,1,2025-06-09 14:37:33.237847,paid_search,0.24268047034891999,1,0.4028934008973727,0.6327430099611132,0.08757885950105987
55,Shannon Jones,nrice@example.com,001-216-854-5948,MO,11943,761,2,360,0,0,1,47056.93,196128.39,1891.72,50297.6,49358.1,Employed,191,Press sub,11602.55,auto,36,3402.89,2,False,5580.56,0,2025-10-11 14:37:33.237847,affiliate,0.29275303514956147,0,4.414460101838348,0.9813211763583153,0.48240801089233826
56,Michael Lewis,bautistarhonda@example.net,(809)252-7958,IN,18017,755,6,9,0,1,2,54480.88,10434.31,1587.54,21314.24,39836.77,Employed,95,"Engineer, energy",20848.86,other,24,18054.14,2,True,3885.38,0,2025-09-19 14:37:33.237848,affiliate,0.0699903617900243,0,0.5742045649776583,1.869021367874247,0.34967276593182783
57,Timothy Duncan,robertlopez@example.com,425.409.3330x206,MN,60041,649,2,156,0,0,1,118204.31,15685.41,1288.76,49500.07,31387.53,Employed,15,Sports development officer,20598.72,auto,36,8031.02,2,True,12048.3,0,2025-11-30 14:37:33.237849,organic,0.2176572461241742,0,0.3069611421106388,0.6340906184577112,0.13083380800581637
58,Richard Aguirre,barbermichelle@example.com,5536845281,PR,69821,681,7,67,1,0,1,74590.35,2741.41,1680.27,15568.89,44000.98,Employed,11,Osteopath,20467.16,auto,36,801.22,4,True,7320.01,0,2025-09-06 14:37:33.237850,affiliate,0.2684482880182332,0,0.3111470853803474,2.8262117594767515,0.2703196861256181
59,Brent Jordan,ryan70@example.com,001-878-857-5232,VI,88873,719,10,37,1,0,1,137613.44,21940.17,929.55,64457.94,40060.82,Employed,31,Manufacturing systems engineer,36533.25,debt_consolidation,12,9949.63,0,False,13040.3,0,2025-06-24 14:37:33.237850,paid_search,0.23217302322130076,0,0.4249106773291911,0.6215032624374902,0.0810574897335609
60,John Daniel,fieldsrobin@example.net,403-282-1186,NE,88520,758,1,25,0,0,1,38772.9,73654.66,1324.19,14724.18,20016.62,Employed,8,"Engineer, drilling",6007.84,debt_consolidation,48,9347.87,3,True,9398.58,0,2025-09-29 14:37:33.237851,organic,0.16200629638842082,0,2.054592253868037,1.3594386920018635,0.40982954589416837
61,Victoria Garcia,pughcarol@example.org,001-650-425-5130x99962,ME,78444,671,2,59,0,0,0,28141.31,8027.94,300.27,76805.7,43078.93,Employed,43,Health promotion specialist,13924.12,auto,60,14149.43,2,True,7515.14,0,2025-10-21 14:37:33.237852,organic,0.16820594399885874,0,0.78006532034223,0.5608819397518674,0.1280409476317911
62,Gerald Hensley,nnielsen@example.net,+1-364-797-7070x34562,IA,40930,688,4,111,1,0,0,53354.23,41974.67,2992.85,69942.47,226.39,Self-Employed,41,Biomedical engineer,38623.02,debt_consolidation,48,4103.68,3,True,2604.5,1,2025-07-10 14:37:33.237853,organic,0.36648204885267666,1,1.5106148097348606,0.00323680304684693,0.6731275102273989
63,Connor West,andersontravis@example.com,(952)774-2169x195,MO,31200,633,4,2,0,0,0,97242.2,11433.44,453.19,11030.47,25227.45,Employed,45,Amenity horticulturist,36554.25,other,60,13456.04,1,True,5618.69,0,2025-11-30 14:37:33.237853,paid_search,0.28313998257214595,0,0.49348626419394054,2.2870693633181545,0.05592510247608549
64,Donald Wright,carmen98@example.com,001-241-890-4549,VT,12978,628,8,46,0,0,1,67612.35,30091.34,2520.63,12444.62,18597.74,Employed,2,Seismic interpreter,23031.98,home_improvement,36,11372.88,2,True,7913.27,0,2025-07-29 14:37:33.237854,paid_search,0.4861727367179065,0,0.7857043868464858,1.4944401677190626,0.44736738184665964
65,Jessica Callahan,gravestammy@example.org,847-382-9240x98866,VA,53358,748,6,63,0,0,2,32036.89,52535.87,1192.25,35332.95,25992.51,Employed,0,Best boy,38291.59,business,60,18641.27,3,True,7763.83,0,2025-07-28 14:37:33.237855,paid_search,0.2986632398206179,0,2.835089798042194,0.7356450565265567,0.4465789282293007
66,Amber Kidd,gjenkins@example.com,+1-318-270-0749x89006,CT,10762,781,2,1,1,1,0,46961.98,200000.0,2259.69,17257.29,32811.87,Self-Employed,58,"Programmer, applications",21545.75,debt_consolidation,12,16707.02,1,True,7145.84,1,2025-09-23 14:37:33.237856,affiliate,0.45948190293547125,1,4.717555563032052,1.9013338710770926,0.5774092148584876
67,Tracy House,cookheather@example.org,(703)415-5677,KY,91142,695,6,131,0,0,3,80858.91,74632.8,1157.47,36172.78,44378.44,Employed,5,Call centre manager,24952.62,debt_consolidation,60,2418.2,1,True,4834.78,0,2025-11-03 14:37:33.237857,direct,0.4001843745853062,0,1.2315948854616021,1.2268462639587006,0.1717762458089034
68,Carol Tucker,wriley@example.org,763-259-2444,OH,46788,760,8,181,0,0,2,97674.26,16296.28,2854.64,24511.84,2367.94,Employed,49,Occupational hygienist,40857.78,debt_consolidation,48,10814.86,0,True,9102.53,0,2025-07-14 14:37:33.237858,paid_search,0.09101641387475608,0,0.5851496596953998,0.09660392691858302,0.3507134837776094
69,James Brown,xkirk@example.org,565.947.8891x559,SD,24900,721,8,56,0,0,2,42122.12,4714.44,612.64,69388.75,16034.29,Employed,7,Event organiser,13347.13,debt_consolidation,48,19884.35,3,False,11892.09,0,2025-10-31 14:37:33.237859,affiliate,0.17684543293236157,0,0.42879062117481265,0.23107910143935437,0.17453252590325463
70,William Baker,cardenasjoseph@example.com,451.242.5807x4221,MO,00954,661,2,7,1,0,1,115260.46,36379.38,1191.35,17098.62,29913.1,Employed,11,Medical illustrator,32674.76,debt_consolidation,36,16891.84,0,True,5775.19,0,2025-09-18 14:37:33.237859,organic,0.580407262455253,0,0.5991138678433177,1.749445276870297,0.124033862089393
71,Jordan Henderson,sheppardallison@example.net,001-437-336-0014x52323,AK,56596,721,5,161,0,0,1,84854.99,92928.59,2941.2,8377.35,29994.25,Employed,90,Neurosurgeon,35634.72,debt_consolidation,24,2170.93,1,False,4826.59,0,2025-11-30 14:37:33.237860,direct,0.26935766583308673,0,1.5150942802538776,3.580398335989304,0.4159378252239496
72,Whitney Peters,scott48@example.org,001-542-204-1793x95384,ND,04656,792,4,98,0,0,3,42341.34,23216.39,668.92,26074.89,28896.46,Self-Employed,19,Administrator,15316.9,auto,24,1502.4,0,False,11302.48,0,2025-08-25 14:37:33.237861,paid_search,0.10583407779963393,0,0.9100630731101095,1.1082102359779848,0.18957926225291877
73,Brittney Phillips,perezzachary@example.com,218.546.6090x3514,IA,53071,697,3,1,0,0,2,151505.98,14371.2,1739.61,40512.81,29868.54,Employed,30,"Surveyor, quantity",9029.03,debt_consolidation,36,16885.56,2,False,2881.4,0,2025-06-20 14:37:33.237862,direct,0.11979990704804591,0,0.15445086721989457,0.7372616216944715,0.13778545242900642
74,Lauren Daniels,vlewis@example.net,931.439.3605,GU,37187,793,8,51,0,0,1,45711.47,49265.6,289.47,6917.51,47674.04,Employed,4,"Psychotherapist, dance movement",14571.17,auto,36,8570.4,0,True,2924.04,1,2025-10-11 14:37:33.237862,paid_search,0.17754062808730733,0,1.3965153603679776,6.891791988735831,0.0759905555432805
75,Amy Silva,hannah04@example.com,001-807-731-1567x6238,SD,12474,542,3,7,0,0,2,50084.38,18758.82,2677.1,75486.64,27052.07,Employed,12,"Administrator, arts",32069.62,home_improvement,48,9494.41,2,True,14661.23,1,2025-09-29 14:37:33.237863,direct,0.6040131493677855,1,1.0148561287970421,0.3583689776098128,0.641421537014135
76,Sarah Moore,timothypalmer@example.net,+1-226-530-1618,VA,75439,749,7,9,0,0,1,91790.62,16736.86,914.88,75741.29,3763.2,Employed,14,"Programmer, applications",38891.97,debt_consolidation,36,8348.4,2,True,10136.64,0,2025-07-24 14:37:33.237864,affiliate,0.09249101494105208,0,0.6060404647010773,0.049684920866808584,0.11960437787651941
77,Angela Lopez,lopezmichelle@example.net,6382794263,RI,79631,705,2,12,0,0,0,52313.42,30215.07,1350.82,50060.87,4443.7,Employed,4,Scientific laboratory technician,12556.75,other,36,14084.04,1,True,3458.21,0,2025-07-11 14:37:33.237865,direct,0.28794301769206915,1,0.8176070308536509,0.08876593634908861,0.30986007032229973
78,Megan Young,latoyahartman@example.com,001-454-375-5156x9832,MT,76004,682,1,30,0,0,0,129161.67,46772.2,1302.7,52108.97,36070.56,Employed,19,Barista,12939.41,home_improvement,48,8723.19,3,True,8679.95,0,2025-10-14 14:37:33.237866,organic,0.13263787909385197,0,0.46230131586251555,0.6922140276424577,0.1210297141559102
