application_id,applicant_name,email,phone,state,zip_code,credit_score,num_credit_accounts,credit_history_months,delinquencies_2y,public_records,inquiries_6m,income,total_debt,monthly_debt_payment,total_credit_limit,total_credit_balance,employment_status,employment_length_months,occupation,loan_amount,loan_purpose,loan_term_months,avg_monthly_balance,num_bank_accounts,has_savings_account,monthly_income_deposits,num_nsf_fees,application_date,referral_source,probability_of_default_x,default,debt_to_income,credit_utilization,payment_to_income,interest_rate,monthly_payment,probability_of_default_y,expected_loss,expected_return,risk_segment
28,Stephanie Ross,oedwards@example.net,860.718.3257x981,PR,72526,722,3,103,0,0,0,72935.51,22070.17,1922.71,19298.01,43454.02,Employed,38,"Copywriter, advertising",37431.19,debt_consolidation,48,5731.01,3,True,5243.05,1,2025-09-07 14:37:33.237827,direct,0.153344561741566,0,0.8158078280387702,2.2517358007380035,0.3163413815849097,0.13178969393646522,1007.5131856273424,0.0544742348411631,815.6141737776784,0.08999999999999998,Medium-Low Risk
30,Anthony Rodriguez,joshua07@example.net,601-593-9589x818,CT,73455,682,5,43,0,0,1,27415.27,25466.77,2085.5,45492.17,43154.61,Self-Employed,54,Financial adviser,21952.43,business,12,13266.45,1,True,6780.27,0,2025-10-06 14:37:33.237828,affiliate,0.25540418686847,0,1.7296637968548183,0.9486162124163344,0.9128489341888664,0.14275596556225784,1973.8931864585504,0.08188991390564454,719.0730410878754,0.09000000000000001,Medium-Low Risk
32,James Ferrell,sara93@example.org,(428)369-5293,ND,19840,811,6,18,0,1,0,86876.71,6327.11,1757.49,37460.77,20018.95,Employed,53,Media buyer,47771.17,auto,24,1494.87,4,True,11210.4,0,2025-07-19 14:37:33.237830,paid_search,0.0504481881843393,0,0.6227017574675652,0.5343977179326533,0.2427564303482486,0.10624540351493512,2218.192845483246,0.008113508787337827,155.03672303056368,0.08299999999999999,Low Risk
33,Tricia Valencia,wrightcarolyn@example.com,2622868521,NM,64309,699,6,28,0,1,2,53866.55,69641.6,276.73,60984.31,10909.16,Employed,99,"Scientist, research (maths)",35438.04,business,36,19341.17,2,True,3199.84,0,2025-08-18 14:37:33.237830,organic,0.2597713239736127,0,1.9507401160831723,0.178884700015463,0.0616479057968256,0.14540888139299807,1220.518768559808,0.08852220348249516,1254.8213551603212,0.09,Medium-Low Risk
35,Debra Davidson,nwalker@example.org,748-722-4302,ND,46349,749,6,114,1,0,1,56527.9,39054.51,2532.4,63627.36,2735.83,Employed,55,"Administrator, local government",26340.97,debt_consolidation,12,8371.0,1,False,3448.37,0,2025-06-09 14:37:33.237832,organic,0.149604606475041,0,1.1568708549229674,0.0429976978457066,0.5375894027550997,0.12078435427461484,2341.3299108177675,0.0269608856865371,284.0703524170013,0.09,Low Risk
36,Jeffrey Chavez,christopher06@example.org,288.755.7393x97426,UT,6252,626,5,58,0,0,1,61929.17,10771.04,1814.27,41061.95,25501.29,Self-Employed,53,"Surveyor, building control",19009.14,debt_consolidation,48,1884.02,1,True,4741.64,0,2025-09-19 14:37:33.237833,direct,0.2695295307919219,0,0.4808748446006946,0.6210443001367447,0.3515506505254309,0.18738799502722223,565.7587869615147,0.11846998756805559,900.8050317917714,0.11999999999999998,Medium-High Risk
38,Cassandra Gaines,dale26@example.com,+1-956-591-7207x036,FL,26440,582,6,21,0,0,2,45489.05,20551.93,775.66,89850.58,8228.05,Employed,35,"Scientist, research (physical sciences)",28794.41,other,24,19304.62,4,True,6037.11,0,2025-11-17 14:37:33.237834,organic,0.5041735607315914,0,1.0847960113477857,0.0915748123161809,0.2046189137825476,0.26508776068086715,1558.6848750848185,0.31271940170216783,3601.828267026767,0.12000000000000001,High Risk
40,Brittany Farmer,sharris@example.com,+1-444-387-8905,NC,67098,711,10,16,0,0,0,73120.6,18355.84,541.23,72094.54,30401.61,Self-Employed,16,Stage manager,30276.83,auto,12,850.81,2,False,10765.53,0,2025-06-14 14:37:33.237836,affiliate,0.1638147411438186,0,0.6651021736692532,0.4216908797809099,0.0888225753070953,0.12998122608403104,2704.2173048447294,0.0499530652100776,604.9681853377735,0.09,Medium-Low Risk
41,Paula Moreno,bcampbell@example.com,+1-744-909-0025,TN,95753,744,4,27,0,0,0,69014.18,19053.43,560.58,92037.01,6875.78,Employed,4,Insurance claims handler,29823.24,business,48,15015.39,1,False,9275.7,1,2025-11-16 14:37:33.237836,organic,0.1417859233107253,0,0.7082119935352417,0.0747066859299318,0.0974721426814026,0.11819941756896916,782.7262973249711,0.0204985439224229,244.53319801958384,0.09,Low Risk
42,Fred Smith,vshields@example.org,725.673.1302x20373,NE,60032,710,8,29,0,0,0,128940.26,6831.36,1811.76,75280.09,43011.22,Employed,27,Marketing executive,35576.15,debt_consolidation,36,9911.74,4,True,10175.48,1,2025-07-16 14:37:33.237837,paid_search,0.1102268088323422,0,0.3288926980603265,0.5713492106611456,0.1686138991809075,0.12594671237672392,1191.7673011573502,0.039866780941809794,567.3226315211866,0.09,Medium-Low Risk
43,Sherry Decker,jefferyvincent@example.org,9537340164,AS,92429,693,6,10,0,0,0,64560.38,47794.25,2867.97,67725.63,4748.23,Employed,140,Clinical molecular geneticist,46133.88,home_improvement,24,7528.34,0,True,11287.01,0,2025-06-16 14:37:33.237838,direct,0.2131612808333029,0,1.4548881217861482,0.0701097944751492,0.5330767879619048,0.13945865746143377,2213.8409608348074,0.07364664365358445,1359.0421682868905,0.08999999999999998,Medium-Low Risk
44,Anthony Humphrey,ygonzalez@example.net,+1-706-309-3371x98658,ND,18864,681,4,25,0,0,1,64390.33,25914.14,881.2,30863.7,21058.97,Employed,34,"Psychologist, forensic",5892.65,home_improvement,60,6460.84,6,True,2432.91,0,2025-08-29 14:37:33.237839,affiliate,0.1507483778162605,0,0.4939684266255507,0.6823216270246276,0.1642234167770223,0.12792762111950662,133.45159120614727,0.044819052798766516,105.6411965898606,0.09000000000000001,Medium-Low Risk
45,Angelica Tucker,vbaker@example.net,5214465481,CA,84659,611,5,102,0,0,0,107508.76,52676.81,1508.4,74092.72,44683.09,Self-Employed,12,Financial manager,43100.55,home_improvement,48,16824.46,1,False,14481.77,0,2025-07-30 14:37:33.237839,paid_search,0.5548530743215773,0,0.8908795897190146,0.6030699102421938,0.1683658150275382,0.25345277538314087,1437.4031379384053,0.2836319384578522,4889.877018039832,0.12000000000000001,High Risk
47,John Pierce,lisa10@example.org,498.779.5047x0062,OH,47497,672,6,52,0,0,3,76487.41,33044.28,2256.65,12089.14,39961.01,Employed,5,Purchasing manager,26671.3,other,36,7682.98,5,False,3102.06,0,2025-11-25 14:37:33.237841,affiliate,0.2808361886145835,0,0.7807243048234997,3.305529591021364,0.3540425803409999,0.1356424299894584,905.9272066221822,0.06410607497364598,683.9169429778417,0.09000000000000001,Medium-High Risk
48,Shane Henderson,whitetracy@example.org,2174759174,VT,25633,763,2,68,0,0,1,24241.49,20119.64,1699.64,57419.95,43672.49,Unemployed,62,Research scientist (medical),11163.36,debt_consolidation,12,4790.84,3,True,10147.0,0,2025-06-29 14:37:33.237842,direct,0.1222920817641216,0,1.290473481621798,0.7605804254444666,0.8413542236883953,0.11216189392648719,987.7623589136148,0.02290473481621798,102.27752018319008,0.08299999999999999,Low Risk
49,Joshua Blair,hbrock@example.net,993.260.4470,NJ,15894,720,2,45,0,0,2,77295.96,14438.82,1872.39,92553.78,1915.22,Employed,0,Civil Service fast streamer,12681.09,debt_consolidation,24,12000.24,3,True,14622.12,0,2025-10-05 14:37:33.237843,paid_search,0.1651505820554543,0,0.3508580526071478,0.0206930500299393,0.2906837563049866,0.12945235595754293,602.5559843491372,0.04863088989385732,246.67707660963805,0.09,Medium-Low Risk
52,Danny Morgan,aprilforbes@example.org,862-344-4516,WA,36690,676,3,340,0,0,1,125492.4,12033.43,706.24,58816.72,3316.17,Employed,9,Computer games developer,10687.28,debt_consolidation,36,2599.16,0,True,4464.35,0,2025-09-23 14:37:33.237845,paid_search,0.1305458427569442,0,0.1810524780783537,0.0563814167127986,0.0675330139514424,0.1270071556843283,358.5580170255605,0.04251788921082073,181.7602348020081,0.09,Medium-High Risk
55,Shannon Jones,nrice@example.com,001-216-854-5948,MO,11943,761,2,360,0,0,1,47056.93,196128.39,1891.72,50297.6,49358.1,Employed,191,Press sub,11602.55,auto,36,3402.89,2,False,5580.56,0,2025-10-11 14:37:33.237847,affiliate,0.2927530351495614,0,4.414460101838348,0.9813211763583152,0.4824080108923382,0.12465784040735339,387.95697636863235,0.054144601018383476,251.28617621833808,0.083,Low Risk
56,Michael Lewis,bautistarhonda@example.net,(809)252-7958,IN,18017,755,6,9,0,1,2,54480.88,10434.31,1587.54,21314.24,39836.77,Employed,95,"Engineer, energy",20848.86,other,24,18054.14,2,True,3885.38,0,2025-09-19 14:37:33.237848,affiliate,0.0699903617900243,0,0.5742045649776583,1.869021367874247,0.3496727659318278,0.10929681825991064,971.0397832876932,0.015742045649776583,131.28148234632042,0.083,Low Risk
57,Timothy Duncan,robertlopez@example.com,425.409.3330x206,MN,60041,649,2,156,0,0,1,118204.31,15685.41,1288.76,49500.07,31387.53,Employed,15,Sports development officer,20598.72,auto,36,8031.02,2,True,12048.3,0,2025-11-30 14:37:33.237849,organic,0.2176572461241742,0,0.3069611421106388,0.6340906184577112,0.1308338080058163,0.18182275654754043,746.5779410130704,0.10455689136885112,861.4952517509524,0.11999999999999998,Medium-High Risk
58,Richard Aguirre,barbermichelle@example.com,5536845281,PR,69821,681,7,67,1,0,1,74590.35,2741.41,1680.27,15568.89,44000.98,Employed,11,Osteopath,20467.16,auto,36,801.22,4,True,7320.01,0,2025-09-06 14:37:33.237850,affiliate,0.2684482880182332,0,0.3111470853803474,2.8262117594767515,0.2703196861256181,0.13360064753684625,693.1744707404368,0.05900161884211562,483.0382292402381,0.09,Medium-Low Risk
59,Brent Jordan,ryan70@example.com,001-878-857-5232,VI,88873,719,10,37,1,0,1,137613.44,21940.17,929.55,64457.94,40060.82,Employed,31,Manufacturing systems engineer,36533.25,debt_consolidation,12,9949.63,0,False,13040.3,0,2025-06-24 14:37:33.237850,paid_search,0.2321730232213007,0,0.4249106773291911,0.6215032624374902,0.0810574897335609,0.13137366015993784,3265.405299179875,0.05343415039984466,780.84927003805,0.08999999999999998,Medium-Low Risk
60,John Daniel,fieldsrobin@example.net,403-282-1186,NE,88520,758,1,25,0,0,1,38772.9,73654.66,1324.19,14724.18,20016.62,Employed,8,"Engineer, drilling",6007.84,debt_consolidation,48,9347.87,3,True,9398.58,0,2025-09-29 14:37:33.237851,organic,0.1620062963884208,0,2.054592253868037,1.3594386920018635,0.4098295458941683,0.11766204281856658,157.52069861376535,0.03665510704641644,88.08720732709702,0.083,Low Risk
61,Victoria Garcia,pughcarol@example.org,001-650-425-5130x99962,ME,78444,671,2,59,0,0,0,28141.31,8027.94,300.27,76805.7,43078.93,Employed,43,Health promotion specialist,13924.12,auto,60,14149.43,2,True,7515.14,0,2025-10-21 14:37:33.237852,organic,0.1682059439988587,0,0.78006532034223,0.5608819397518674,0.1280409476317911,0.13136078384410677,317.7873162536336,0.0534019596102669,297.43011753940385,0.09,Medium-High Risk
63,Connor West,andersontravis@example.com,(952)774-2169x195,MO,31200,633,4,2,0,0,0,97242.2,11433.44,453.19,11030.47,25227.45,Employed,45,Amenity horticulturist,36554.25,other,60,13456.04,1,True,5618.69,0,2025-11-30 14:37:33.237853,paid_search,0.2831399825721459,0,0.4934862641939405,2.2870693633181545,0.0559251024760854,0.18779156045420609,943.8009705413685,0.11947890113551525,1746.9846487331633,0.11999999999999998,Medium-High Risk
64,Donald Wright,carmen98@example.com,001-241-890-4549,VT,12978,628,8,46,0,0,1,67612.35,30091.34,2520.63,12444.62,18597.74,Employed,2,Seismic interpreter,23031.98,home_improvement,36,11372.88,2,True,7913.27,0,2025-07-29 14:37:33.237854,paid_search,0.4861727367179065,0,0.7857043868464858,1.4944401677190626,0.4473673818466596,0.20857104845490504,866.0425090794507,0.17142762113726265,1579.3270165924043,0.11999999999999995,Medium-High Risk
65,Jessica Callahan,gravestammy@example.org,847-382-9240x98866,VA,53358,748,6,63,0,0,2,32036.89,52535.87,1192.25,35332.95,25992.51,Employed,0,Best boy,38291.59,business,60,18641.27,3,True,7763.83,0,2025-07-28 14:37:33.237855,paid_search,0.2986632398206179,0,2.835089798042194,0.7356450565265567,0.4465789282293007,0.12840843103060254,868.1347550121285,0.04602107757650633,704.8880935671096,0.09,Low Risk
67,Tracy House,cookheather@example.org,(703)415-5677,KY,91142,695,6,131,0,0,3,80858.91,74632.8,1157.47,36172.78,44378.44,Employed,5,Call centre manager,24952.62,debt_consolidation,60,2418.2,1,True,4834.78,0,2025-11-03 14:37:33.237857,direct,0.4001843745853062,0,1.231594885461602,1.2268462639587006,0.1717762458089034,0.14213496635064707,583.3693876926296,0.08033741587661766,801.851604060483,0.09,Medium-Low Risk
68,Carol Tucker,wriley@example.org,763-259-2444,OH,46788,760,8,181,0,0,2,97674.26,16296.28,2854.64,24511.84,2367.94,Employed,49,Occupational hygienist,40857.78,debt_consolidation,48,10814.86,0,True,9102.53,0,2025-07-14 14:37:33.237858,paid_search,0.091016413874756,0,0.5851496596953998,0.096603926918583,0.3507134837776094,0.1093405986387816,1054.6827850745565,0.015851496596954,259.06278425163805,0.08299999999999999,Low Risk
69,James Brown,xkirk@example.org,565.947.8891x559,SD,24900,721,8,56,0,0,2,42122.12,4714.44,612.64,69388.75,16034.29,Employed,7,Event organiser,13347.13,debt_consolidation,48,19884.35,3,False,11892.09,0,2025-10-31 14:37:33.237859,affiliate,0.1768454329323615,0,0.4287906211748126,0.2310791014393543,0.1745325259032546,0.1305745849449173,358.4508272772181,0.05143646236229325,274.61165995585407,0.09,Medium-Low Risk
70,William Baker,cardenasjoseph@example.com,451.242.5807x4221,MO,954,661,2,7,1,0,1,115260.46,36379.38,1191.35,17098.62,29913.1,Employed,11,Medical illustrator,32674.76,debt_consolidation,36,16891.84,0,True,5775.19,0,2025-09-18 14:37:33.237859,organic,0.580407262455253,0,0.5991138678433177,1.749445276870297,0.124033862089393,0.18675746565647922,1192.3766758792187,0.1918936641411981,2508.031768533702,0.08999999999999997,Medium-High Risk
71,Jordan Henderson,sheppardallison@example.net,001-437-336-0014x52323,AK,56596,721,5,161,0,0,1,84854.99,92928.59,2941.2,8377.35,29994.25,Employed,90,Neurosurgeon,35634.72,debt_consolidation,24,2170.93,1,False,4826.59,0,2025-11-30 14:37:33.237860,direct,0.2693576658330867,0,1.5150942802538776,3.580398335989304,0.4159378252239496,0.14018113136304652,1711.2305900336094,0.07545282840761632,1075.4961654053814,0.09,Medium-Low Risk
72,Whitney Peters,scott48@example.org,001-542-204-1793x95384,ND,4656,792,4,98,0,0,3,42341.34,23216.39,668.92,26074.89,28896.46,Self-Employed,19,Administrator,15316.9,auto,24,1502.4,0,False,11302.48,0,2025-08-25 14:37:33.237861,paid_search,0.1058340777996339,0,0.9100630731101096,1.1082102359779848,0.1895792622529187,0.11064025229244044,714.3429808988948,0.019100630731101097,117.02498033808097,0.083,Low Risk
73,Brittney Phillips,perezzachary@example.com,218.546.6090x3514,IA,53071,697,3,1,0,0,2,151505.98,14371.2,1739.61,40512.81,29868.54,Employed,30,"Surveyor, quantity",9029.03,debt_consolidation,36,16885.56,2,False,2881.4,0,2025-06-20 14:37:33.237862,direct,0.1197999070480459,0,0.1544508672198945,0.7372616216944715,0.1377854524290064,0.12385341040663873,301.55747432470076,0.03463352601659683,125.08285816385333,0.09,Medium-Low Risk
74,Lauren Daniels,vlewis@example.net,931.439.3605,GU,37187,793,8,51,0,0,1,45711.47,49265.6,289.47,6917.51,47674.04,Employed,4,"Psychotherapist, dance movement",14571.17,auto,36,8570.4,0,True,2924.04,1,2025-10-11 14:37:33.237862,paid_search,0.1775406280873073,0,1.3965153603679776,6.891791988735831,0.0759905555432805,0.11450327372976629,480.1548397483808,0.02875818432441573,167.6161570729587,0.08299999999999999,Low Risk
76,Sarah Moore,timothypalmer@example.net,+1-226-530-1618,VA,75439,749,7,9,0,0,1,91790.62,16736.86,914.88,75741.29,3763.2,Employed,14,"Programmer, applications",38891.97,debt_consolidation,36,8348.4,2,True,10136.64,0,2025-07-24 14:37:33.237864,affiliate,0.092491014941052,0,0.6060404647010773,0.0496849208668085,0.1196043778765194,0.1164241618588043,1285.1376902718475,0.01606040464701077,249.84831028776145,0.09,Low Risk
78,Megan Young,latoyahartman@example.com,001-454-375-5156x9832,MT,76004,682,1,30,0,0,0,129161.67,46772.2,1302.7,52108.97,36070.56,Employed,19,Barista,12939.41,home_improvement,48,8723.19,3,True,8679.95,0,2025-10-14 14:37:33.237866,organic,0.1326378790938519,0,0.4623013158625155,0.6922140276424577,0.1210297141559102,0.12754761579035018,345.559080316719,0.04386903947587546,227.0557952338151,0.08999999999999998,Medium-Low Risk
79,Steve Sanchez,jodimiller@example.com,001-281-328-0919x177,IA,17757,705,5,125,0,0,0,105301.18,7530.46,850.11,73719.49,44066.22,Employed,19,Fitness centre manager,8948.8,auto,12,4774.35,4,True,2263.93,0,2025-10-23 14:37:33.237867,affiliate,0.1087461107712426,0,0.156496441920214,0.5977553561480146,0.0968775468612982,0.12387795730304257,796.7143933064234,0.03469489325760642,124.19106431346732,0.09,Medium-Low Risk
80,Lisa Barnes,julie84@example.com,001-882-977-1795,GU,64743,580,4,1,0,0,2,73356.15,3839.18,2151.23,75841.16,32585.76,Employed,89,Counselling psychologist,41289.22,business,24,18357.3,0,False,10505.07,0,2025-09-23 14:37:33.237868,paid_search,0.4521186248184071,0,0.6151958629235587,0.4296579851890451,0.3519099625593764,0.23691175177541351,2176.6473495004907,0.2422793794385338,4001.41063964044,0.11999999999999998,High Risk
